company_name,job_name,job_type,date,city,country
Siemens,Senior Service Sales Professional (w/m/d) Smart Buildings,external,2023-05-03,Munich,Germany
Siemens,Meister / Techniker (w/m/d) Stahlbau,external,2023-03-15,Munich,Germany
Bank of America,Vice President; Test Tools & Automation Manager,external,2024-11-20,Charlotte,NC
Siemens,Senior Project Engineer - Traffic Management,external,2023-05-26,Belper,United Kingdom
SpaceX,"Manager, Manufacturing Engineering (Starlink PCBA)",external,2024-11-15,Lockhart,TX
Siemens,Abschnittsbauleitung (w/m/d) fur Gebaudetechnik,external,2023-05-09,Munich,Germany
Siemens,Native modeling specialist,external,2023-01-11,Bratislava,Slovakia
Bank of America,Relationship Banker - Greer Main-Poinsett Financial Center,external,2024-11-20,Greenville,SC
Adyen,"Enterprise Account Executive, Platforms",external,2024-09-05,New York,NY
Siemens,Inzenyr Kvality,external,2023-04-13,Pribram,Czech Republic
Siemens,Sr Sales Executive Security Service & Solutions ~ San Francisco,external,2023-05-18,Fremont,CA
Siemens,Product and Solution Security Expert (m/w/d),external,2023-03-14,Bielefeld,Germany
Bank of America,"Sr. Relationship Manager - Global Commercial Banking - Healthcare, Education, Not-for-Profit - (Nashville)",external,2024-11-09,Nashville,TN
Siemens,Data Engineer for HR (m/f/d),external,2023-05-15,Kartuzy,Poland
Siemens,Senior Field Service Technician,external,2023-04-18,Milan,Italy
Celonis,Product Marketing Manager - Partner Solutions,external,2024-11-19,Munich,Germany
Siemens,GDC Process Mining Business Value Architect (f/m/d),external,2023-05-15,Opole,Poland
Bank of America,Oil & Gas Petroleum Engineer,external,2024-10-10,Dallas,TX
SpaceX,Propulsion Technician (Starship) - 1st Shift,external,2024-09-30,El Segundo,CA
Siemens,Service Dispatcher - Customer Service,external,2023-05-21,Leduc,Canada
